company_name;Ticker;sector;Executive Name;Title;job_function;Age;Year Born;survey_year;country_code;annual_base_salary;target_total_cash;target_total_direct_compensation;market_cap;ebitda;totalDebt;quickRatio;currentRatio;total_revenue;debtToEquity;revenuePerShare;returnOnAssets;returnOnEquity;gross_profits;free_cash_flow;operating_cash_flow;earningsGrowth;revenueGrowth;grossMargins;ebitdaMargins;operating_margins;profitMargins;financialCurrency
Chevron Corporation;CVX;Energy;A. Nigel Hearne ;;OBM;61;1963;2024;US;1.075.000;2.365.000;7.958.500;2,43E+11;38499999744;29681000448;0,68;1,08;1,95E+11;19777;109273;0,05;0,1;75975000064;13518749696;29852999680;-0,33;-0,01;0,39;0,2;0,11;0,08;USD
Chevron Corporation;CVX;Energy;R. Hewitt Pate;;OBM;N/A;N/A;2024;US;1.150.000;2.415.000;6.701.100;2,43E+11;38499999744;29681000448;0,68;1,08;1,95E+11;19777;109273;0,05;0,1;75975000064;13518749696;29852999680;-0,33;-0,01;0,39;0,2;0,11;0,08;USD
Cisco Systems Inc.;CSCO;Technology;Mr. Charles H. Robbins;Chairman & CEO;CEO;58;1966;2024;US;1.390.000;5.004.000;32.804.004;2,62E+11;14741999616;30744999936;0,71;0,95;55623000064;66932;13939;0,06;0,21;36290998272;11596375040;13688999936;0,35;0,11;0,65;0,27;0,23;0,18;USD
Cisco Systems Inc.;CSCO;Technology;Mr. Richard Scott Herren;Executive VP & CFO;OBM;62;1962;2024;US;896.875;2.331.875;16.331.939;2,62E+11;14741999616;30744999936;0,71;0,95;55623000064;66932;13939;0,06;0,21;36290998272;11596375040;13688999936;0,35;0,11;0,65;0,27;0,23;0,18;USD
Cisco Systems Inc.;CSCO;Technology;Jeff Sharritts;Executive Vice President of Operations;OBM;46;1978;2024;US;820.000;2.132.000;10.000.052;2,62E+11;14741999616;30744999936;0,71;0,95;55623000064;66932;13939;0,06;0,21;36290998272;11596375040;13688999936;0,35;0,11;0,65;0,27;0,23;0,18;USD
Cisco Systems Inc.;CSCO;Technology;Ms. Deborah L. Stahlkopf;Executive VP & Chief Legal Officer;OBM;53;1971;2024;US;732.875;1.905.475;10.405.531;2,62E+11;14741999616;30744999936;0,71;0,95;55623000064;66932;13939;0,06;0,21;36290998272;11596375040;13688999936;0,35;0,11;0,65;0,27;0,23;0,18;USD
Cisco Systems Inc.;CSCO;Technology;Maria Martinez;;OBM;52;1972;2024;US;896.875;2.331.875;15.331.923;2,62E+11;14741999616;30744999936;0,71;0,95;55623000064;66932;13939;0,06;0,21;36290998272;11596375040;13688999936;0,35;0,11;0,65;0,27;0,23;0,18;USD
The Coca-Cola Company;KO;Consumer Defensive;Mr. James Robert B. Quincey;Chairman & CEO;CEO;59;1965;2024;US;1.675.000;5.025.000;23.162.304;3,07E+11;15388000256;49970999296;0,75;1,1;46890000384;180,05;10887;0,09;0,39;28637999104;4730375168;1075000064;0,05;-0,02;0,61;0,33;0,34;0,23;USD
The Coca-Cola Company;KO;Consumer Defensive;Mr. John  Murphy;President & CFO;OBM;62;1962;2024;US;1.108.640;2.771.600;8.666.211;3,07E+11;15388000256;49970999296;0,75;1,1;46890000384;180,05;10887;0,09;0,39;28637999104;4730375168;1075000064;0,05;-0,02;0,61;0,33;0,34;0,23;USD
The Coca-Cola Company;KO;Consumer Defensive;Mr. Henrique  Braun;EVP & Chief Operating Officer;OBM;56;1968;2024;US;735.000;1.653.750;4.827.762;3,07E+11;15388000256;49970999296;0,75;1,1;46890000384;180,05;10887;0,09;0,39;28637999104;4730375168;1075000064;0,05;-0,02;0,61;0,33;0,34;0,23;USD
The Coca-Cola Company;KO;Consumer Defensive;Mr. Manuel Arroyo Prieto;Executive VP & Global chief Marketing Officer;OBM;57;1967;2024;US;724.130;1.629.293;4.859.337;3,07E+11;15388000256;49970999296;0,75;1,1;46890000384;180,05;10887;0,09;0,39;28637999104;4730375168;1075000064;0,05;-0,02;0,61;0,33;0,34;0,23;USD
The Coca-Cola Company;KO;Consumer Defensive;Ms. Jennifer Kay Mann;Executive VP & President of North America Operating Unit;OBM;52;1972;2024;US;730.080;1.460.160;3.954.008;3,07E+11;15388000256;49970999296;0,75;1,1;46890000384;180,05;10887;0,09;0,39;28637999104;4730375168;1075000064;0,05;-0,02;0,61;0,33;0,34;0,23;USD
Exxon Mobil Corporation;XOM;Energy;Mr. Darren W. Woods;Chairman of the Board, President & CEO;CEO;59;1965;2024;US;1.969.000;;;4,49E+11;64872001536;37551001600;0,86;1236;3,41E+11;13918;77,67;0,06;0,14;1,05E+11;21801000960;53311000576;-0,14;0,01;0,31;0,19;0,13;0,1;USD
Exxon Mobil Corporation;XOM;Energy;Ms. Kathryn A. Mikells;Senior VP & CFO;OBM;58;1966;2024;US;1.276.000;;;4,49E+11;64872001536;37551001600;0,86;1236;3,41E+11;13918;77,67;0,06;0,14;1,05E+11;21801000960;53311000576;-0,14;0,01;0,31;0,19;0,13;0,1;USD
Exxon Mobil Corporation;XOM;Energy;Mr. Neil A. Chapman;Senior Vice President;OBM;62;1962;2024;US;1.259.000;;;4,49E+11;64872001536;37551001600;0,86;1236;3,41E+11;13918;77,67;0,06;0,14;1,05E+11;21801000960;53311000576;-0,14;0,01;0,31;0,19;0,13;0,1;USD
Exxon Mobil Corporation;XOM;Energy;Mr. Jack P. Williams Jr.;Senior Vice President;OBM;60;1964;2024;US;1.271.000;;;4,49E+11;64872001536;37551001600;0,86;1236;3,41E+11;13918;77,67;0,06;0,14;1,05E+11;21801000960;53311000576;-0,14;0,01;0,31;0,19;0,13;0,1;USD
Exxon Mobil Corporation;XOM;Energy;Ms. Karen T. McKee;VP & President of ExxonMobil Product Solutions Company;OBM;56;1968;2024;US;1.116.200;;;4,49E+11;64872001536;37551001600;0,86;1236;3,41E+11;13918;77,67;0,06;0,14;1,05E+11;21801000960;53311000576;-0,14;0,01;0,31;0,19;0,13;0,1;USD
The Goldman Sachs Group Inc.;GS;Financial Services;Mr. David M. Solomon;Chairman & CEO;CEO;62;1962;2024;US;2.000.000;10.330.000;39.000.000;1,88E+11;;7,40E+11;1412;1542;53043998720;593344;163514;0,01;0,12;43939999744;;-22403999744;0,22;0,06;0,83;0;0,38;0,28;USD
The Goldman Sachs Group Inc.;GS;Financial Services;Mr. John E. Waldron;President, COO & Director;OBM;54;1970;2024;US;1.850.000;13.420.000;38.000.000;1,88E+11;;7,40E+11;1412;1542;53043998720;593344;163514;0,01;0,12;43939999744;;-22403999744;0,22;0,06;0,83;0;0,38;0,28;USD
The Goldman Sachs Group Inc.;GS;Financial Services;Mr. Denis P. Coleman III;Chief Financial Officer;OBM;49;1975;2024;US;1.850.000;9.900.000;27.000.000;1,88E+11;;7,40E+11;1412;1542;53043998720;593344;163514;0,01;0,12;43939999744;;-22403999744;0,22;0,06;0,83;0;0,38;0,28;USD
The Goldman Sachs Group Inc.;GS;Financial Services;Ms. Kathryn H. Ruemmler;Chief Legal Officer, Secretary & General Counsel;OBM;52;1972;2024;US;1.500.000;9.060.000;22.500.000;1,88E+11;;7,40E+11;1412;1542;53043998720;593344;163514;0,01;0,12;43939999744;;-22403999744;0,22;0,06;0,83;0;0,38;0,28;USD
The Goldman Sachs Group Inc.;GS;Financial Services;Mr. John F. W. Rogers;Executive VP, Lead Director & Secretary to the Board of Directors;OBM;67;1957;2024;US;1.500.000;6.720.000;16.000.000;1,88E+11;;7,40E+11;1412;1542;53043998720;593344;163514;0,01;0,12;43939999744;;-22403999744;0,22;0,06;0,83;0;0,38;0,28;USD
The Home Depot Inc.;HD;Consumer Cyclical;Mr. Edward P. Decker;Chairman, President & CEO;CEO;61;1963;2024;US;1.400.000;4.200.000;15.204.000;3,65E+11;25497999360;61952000000;0,23;1093;1,63E+11;778781;164473;0,15;29951901;54334001152;10957625344;18638000128;-0,05;0,09;0,33;0,16;0,13;0,09;USD
The Home Depot Inc.;HD;Consumer Cyclical;Mr. Richard V. McPhail;Executive VP & CFO;OBM;53;1971;2024;US;950.000;1.900.000;5.215.702;3,65E+11;25497999360;61952000000;0,23;1093;1,63E+11;778781;164473;0,15;29951901;54334001152;10957625344;18638000128;-0,05;0,09;0,33;0,16;0,13;0,09;USD
The Home Depot Inc.;HD;Consumer Cyclical;Ms. Teresa Wynn Roseborough J.D.;Executive VP, General Counsel & Corporate Secretary;OBM;65;1959;2024;US;788.877;1.577.754;3.625.864;3,65E+11;25497999360;61952000000;0,23;1093;1,63E+11;778781;164473;0,15;29951901;54334001152;10957625344;18638000128;-0,05;0,09;0,33;0,16;0,13;0,09;USD
The Home Depot Inc.;HD;Consumer Cyclical;Ms. Ann-Marie  Campbell;Senior Executive Vice President;OBM;58;1966;2024;US;1.030.000;2.317.500;6.441.684;3,65E+11;25497999360;61952000000;0,23;1093;1,63E+11;778781;164473;0,15;29951901;54334001152;10957625344;18638000128;-0,05;0,09;0,33;0,16;0,13;0,09;USD
The Home Depot Inc.;HD;Consumer Cyclical;Mr. William D. Bastek;Executive Vice President of Merchandising;OBM;57;1967;2024;US;750.000;1.500.000;4.304.503;3,65E+11;25497999360;61952000000;0,23;1093;1,63E+11;778781;164473;0,15;29951901;54334001152;10957625344;18638000128;-0,05;0,09;0,33;0,16;0,13;0,09;USD
International Business Machines Corporation;IBM;Technology;Mr. Arvind  Krishna;CEO, President & Chairman;CEO;61;1963;2024;US;1.500.000;5.000.000;30.000.000;2,50E+11;13950000128;66835001344;0,85;1007;62832001024;247978;67965;0,04;0,22;35840000000;10564249600;13646999552;-0,35;0,01;0,57;0,22;0,12;0,09;USD
International Business Machines Corporation;IBM;Technology;Mr. Gary D. Cohn;Executive Vice Chairman;OBM;63;1961;2024;US;1.170.000;2.750.000;13.000.000;2,50E+11;13950000128;66835001344;0,85;1007;62832001024;247978;67965;0,04;0,22;35840000000;10564249600;13646999552;-0,35;0,01;0,57;0,22;0,12;0,09;USD
International Business Machines Corporation;IBM;Technology;Mr. James J. Kavanaugh;CFO and Senior VP of Finance & Operations;OBM;57;1967;2024;US;1.277.000;3.009.000;15.009.000;2,50E+11;13950000128;66835001344;0,85;1007;62832001024;247978;67965;0,04;0,22;35840000000;10564249600;13646999552;-0,35;0,01;0,57;0,22;0,12;0,09;USD
International Business Machines Corporation;IBM;Technology;Ms. Anne E. Robinson;Senior VP & Chief Legal Officer;OBM;53;1971;2024;US;1.021.000;2.400.000;10.000.000;2,50E+11;13950000128;66835001344;0,85;1007;62832001024;247978;67965;0,04;0,22;35840000000;10564249600;13646999552;-0,35;0,01;0,57;0,22;0,12;0,09;USD
International Business Machines Corporation;IBM;Technology;Mr. Robert D. Thomas;Senior VP of Software & Chief Commercial Officer;OBM;75;1949;2024;US;1.170.000;2.750.000;14.000.000;2,50E+11;13950000128;66835001344;0,85;1007;62832001024;247978;67965;0,04;0,22;35840000000;10564249600;13646999552;-0,35;0,01;0,57;0,22;0,12;0,09;USD
